Temperature (C)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
65.000	0.25042	54.427	0.018373	272.09	272.12	0.89365	3.9511	4.1875	1553.3	-0.019791	433.24	0.65896	0.065366	0.0089623	111.58	2462.4	2617.5	7.8296	1.4860	1.9750	452.57	11.239	11.097	0.021620
70.000	0.31201	54.273	0.018426	293.03	293.07	0.95513	3.9252	4.1902	1554.6	-0.019517	403.87	0.66309	0.064481	0.011015	90.789	2468.9	2626.1	7.7540	1.4937	1.9862	455.57	10.304	11.260	0.022068
75.000	0.38595	54.110	0.018481	313.99	314.03	1.0158	3.8992	4.1933	1554.9	-0.019242	377.72	0.66676	0.063583	0.013444	74.384	2475.2	2634.6	7.6812	1.5020	1.9985	458.51	9.4915	11.426	0.022531
80.000	0.47414	53.941	0.018539	334.96	335.01	1.0756	3.8729	4.1969	1554.3	-0.018965	354.33	0.66999	0.062673	0.016301	61.345	2481.6	2643.0	7.6111	1.5111	2.0120	461.39	8.7812	11.592	0.023011
85.000	0.57867	53.765	0.018599	355.95	356.01	1.1346	3.8467	4.2008	1552.8	-0.018686	333.33	0.67281	0.061750	0.019643	50.908	2487.8	2651.3	7.5434	1.5209	2.0267	464.20	8.1564	11.760	0.023507
90.000	0.70182	53.582	0.018663	376.97	377.04	1.1929	3.8204	4.2053	1550.4	-0.018402	314.40	0.67525	0.060816	0.023530	42.499	2494.0	2659.5	7.4781	1.5316	2.0429	466.94	7.6034	11.929	0.024019
95.000	0.84608	53.392	0.018729	398.00	398.09	1.2504	3.7942	4.2102	1547.2	-0.018114	297.28	0.67734	0.059870	0.028027	35.680	2500.0	2667.6	7.4151	1.5432	2.0607	469.61	7.1113	12.099	0.024549
100.00	1.0142	53.196	0.018798	419.06	419.17	1.3072	3.7682	4.2157	1543.2	-0.017819	281.74	0.67909	0.058912	0.033203	30.117	2506.0	2675.6	7.3541	1.5558	2.0800	472.20	6.6707	12.269	0.025096
105.00	1.2090	52.994	0.018870	440.15	440.27	1.3633	3.7423	4.2217	1538.4	-0.017517	267.60	0.68054	0.057943	0.039135	25.552	2511.9	2683.4	7.2952	1.5695	2.1012	474.71	6.2742	12.440	0.025661
110.00	1.4338	52.786	0.018945	461.26	461.42	1.4188	3.7167	4.2283	1532.9	-0.017208	254.70	0.68169	0.056962	0.045902	21.786	2517.7	2691.1	7.2381	1.5843	2.1244	477.13	5.9153	12.612	0.026245
115.00	1.6918	52.571	0.019022	482.41	482.59	1.4737	3.6913	4.2356	1526.7	-0.016889	242.89	0.68257	0.055970	0.053588	18.661	2523.3	2698.6	7.1828	1.6004	2.1496	479.48	5.5886	12.784	0.026846
120.00	1.9867	52.350	0.019102	503.60	503.81	1.5279	3.6662	4.2435	1519.9	-0.016561	232.05	0.68319	0.054968	0.062284	16.055	2528.9	2705.9	7.1291	1.6177	2.1770	481.73	5.2896	12.956	0.027467
125.00	2.3224	52.124	0.019185	524.83	525.07	1.5816	3.6414	4.2521	1512.4	-0.016221	222.08	0.68356	0.053955	0.072086	13.872	2534.3	2713.1	7.0770	1.6363	2.2067	483.90	5.0145	13.129	0.028106
130.00	2.7028	51.891	0.019271	546.09	546.38	1.6346	3.6170	4.2615	1504.3	-0.015869	212.90	0.68370	0.052932	0.083096	12.034	2539.5	2720.1	7.0264	1.6562	2.2389	485.97	4.7601	13.301	0.028765
135.00	3.1323	51.653	0.019360	567.41	567.74	1.6872	3.5930	4.2716	1495.5	-0.015505	204.40	0.68361	0.051899	0.095420	10.480	2544.7	2726.9	6.9772	1.6775	2.2736	487.94	4.5238	13.474	0.029443
